y_grad,unit,sex,age,geo,year,value
Total,Number,Females,From 35 to 44 years,Slovenia,2006,0
Total,Number,Females,From 35 to 44 years,Turkey,2009,12149
Total,Number,Females,From 35 to 44 years,Turkey,2006,0
Total,Number,Females,From 35 to 44 years,United States,2009,67700
Total,Number,Females,From 35 to 44 years,United States,2006,63900
Total,Number,Females,From 45 to 54 years,Bulgaria,2009,1831
Total,Number,Females,From 45 to 54 years,Bulgaria,2006,1679
Total,Number,Females,From 45 to 54 years,Switzerland,2009,8695
Total,Number,Females,From 45 to 54 years,Switzerland,2006,8122
Total,Number,Females,From 45 to 54 years,Cyprus,2009,0
Total,Number,Females,From 45 to 54 years,Cyprus,2006,164
Total,Number,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,56210
Total,Number,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,40620
Total,Number,Females,From 45 to 54 years,Denmark,2009,1456
Total,Number,Females,From 45 to 54 years,Denmark,2006,28
Total,Number,Females,From 45 to 54 years,Estonia,2009,0
Total,Number,Females,From 45 to 54 years,Estonia,2006,304
Total,Number,Females,From 45 to 54 years,Finland,2009,2708
Total,Number,Females,From 45 to 54 years,Finland,2006,2097
Total,Number,Females,From 45 to 54 years,Croatia,2009,883
Total,Number,Females,From 45 to 54 years,Croatia,2006,741
Total,Number,Females,From 45 to 54 years,Hungary,2009,124
Total,Number,Females,From 45 to 54 years,Hungary,2006,0
Total,Number,Females,From 45 to 54 years,Israel,2009,3313
Total,Number,Females,From 45 to 54 years,Israel,2006,0
Total,Number,Females,From 45 to 54 years,Iceland,2009,38
Total,Number,Females,From 45 to 54 years,Iceland,2006,131
Total,Number,Females,From 45 to 54 years,Lithuania,2009,1184
Total,Number,Females,From 45 to 54 years,Lithuania,2006,971
Total,Number,Females,From 45 to 54 years,Latvia,2009,414
Total,Number,Females,From 45 to 54 years,Latvia,2006,413
Total,Number,Females,From 45 to 54 years,Malta,2009,46
Total,Number,Females,From 45 to 54 years,Malta,2006,0
Total,Number,Females,From 45 to 54 years,Netherlands,2009,0
Total,Number,Females,From 45 to 54 years,Netherlands,2006,5000
Total,Number,Females,From 45 to 54 years,Norway,2009,1912
Total,Number,Females,From 45 to 54 years,Norway,2006,1210
Total,Number,Females,From 45 to 54 years,Poland,2009,289
Total,Number,Females,From 45 to 54 years,Poland,2006,0
Total,Number,Females,From 45 to 54 years,Portugal,2009,114
Total,Number,Females,From 45 to 54 years,Portugal,2006,1816
Total,Number,Females,From 45 to 54 years,Russia,2009,367
Total,Number,Females,From 45 to 54 years,Russia,2006,0
Total,Number,Females,From 45 to 54 years,Sweden,2009,5537
Total,Number,Females,From 45 to 54 years,Sweden,2006,4447
Total,Number,Females,From 45 to 54 years,Slovenia,2009,633
Total,Number,Females,From 45 to 54 years,Slovenia,2006,0
Total,Number,Females,From 45 to 54 years,Turkey,2009,6538
Total,Number,Females,From 45 to 54 years,Turkey,2006,0
Total,Number,Females,From 45 to 54 years,United States,2009,61000
Total,Number,Females,From 45 to 54 years,United States,2006,57900
Total,Number,Females,From 55 to 64 years,Bulgaria,2009,1809
Total,Number,Females,From 55 to 64 years,Bulgaria,2006,1663
Total,Number,Females,From 55 to 64 years,Switzerland,2009,5698
Total,Number,Females,From 55 to 64 years,Switzerland,2006,4239
Total,Number,Females,From 55 to 64 years,Cyprus,2009,0
Total,Number,Females,From 55 to 64 years,Cyprus,2006,84
Total,Number,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,28460
Total,Number,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,27380
Total,Number,Females,From 55 to 64 years,Denmark,2009,413
Total,Number,Females,From 55 to 64 years,Denmark,2006,12
Total,Number,Females,From 55 to 64 years,Estonia,2009,0
Total,Number,Females,From 55 to 64 years,Estonia,2006,279
Total,Number,Females,From 55 to 64 years,Finland,2009,1701
Total,Number,Females,From 55 to 64 years,Finland,2006,1315
Total,Number,Females,From 55 to 64 years,Croatia,2009,759
Total,Number,Females,From 55 to 64 years,Croatia,2006,743
Total,Number,Females,From 55 to 64 years,Hungary,2009,146
Total,Number,Females,From 55 to 64 years,Hungary,2006,0
Total,Number,Females,From 55 to 64 years,Israel,2009,3933
Total,Number,Females,From 55 to 64 years,Israel,2006,0
Total,Number,Females,From 55 to 64 years,Iceland,2009,27
Total,Number,Females,From 55 to 64 years,Iceland,2006,63
Total,Number,Females,From 55 to 64 years,Lithuania,2009,804
Total,Number,Females,From 55 to 64 years,Lithuania,2006,842
Total,Number,Females,From 55 to 64 years,Latvia,2009,503
Total,Number,Females,From 55 to 64 years,Latvia,2006,525
Total,Number,Females,From 55 to 64 years,Malta,2009,19
Total,Number,Females,From 55 to 64 years,Malta,2006,0
Total,Number,Females,From 55 to 64 years,Netherlands,2009,0
Total,Number,Females,From 55 to 64 years,Netherlands,2006,3000
Total,Number,Females,From 55 to 64 years,Norway,2009,1056
Total,Number,Females,From 55 to 64 years,Norway,2006,600
Total,Number,Females,From 55 to 64 years,Poland,2009,163
Total,Number,Females,From 55 to 64 years,Poland,2006,0
Total,Number,Females,From 55 to 64 years,Portugal,2009,15
Total,Number,Females,From 55 to 64 years,Portugal,2006,922
Total,Number,Females,From 55 to 64 years,Russia,2009,363
Total,Number,Females,From 55 to 64 years,Russia,2006,0
Total,Number,Females,From 55 to 64 years,Sweden,2009,4264
Total,Number,Females,From 55 to 64 years,Sweden,2006,3759
Total,Number,Females,From 55 to 64 years,Slovenia,2009,355
Total,Number,Females,From 55 to 64 years,Slovenia,2006,0
Total,Number,Females,From 55 to 64 years,Turkey,2009,2887
Total,Number,Females,From 55 to 64 years,Turkey,2006,0
Total,Number,Females,From 55 to 64 years,United States,2009,49200
Total,Number,Females,From 55 to 64 years,United States,2006,43000
Total,Number,Females,From 65 to 69 years,Bulgaria,2009,500
Total,Number,Females,From 65 to 69 years,Bulgaria,2006,648
Total,Number,Females,From 65 to 69 years,Switzerland,2009,0
Total,Number,Females,From 65 to 69 years,Switzerland,2006,1409
Total,Number,Females,From 65 to 69 years,Cyprus,2009,0
Total,Number,Females,From 65 to 69 years,Cyprus,2006,8
Total,Number,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2009,37950
Total,Number,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Number,Females,From 65 to 69 years,Denmark,2009,51
Total,Number,Females,From 65 to 69 years,Denmark,2006,0
Total,Number,Females,From 65 to 69 years,Estonia,2009,0
Total,Number,Females,From 65 to 69 years,Estonia,2006,41u
Total,Number,Females,From 65 to 69 years,Finland,2009,418
Total,Number,Females,From 65 to 69 years,Finland,2006,228
Total,Number,Females,From 65 to 69 years,Croatia,2009,183
Total,Number,Females,From 65 to 69 years,Croatia,2006,260
Total,Number,Females,From 65 to 69 years,Hungary,2009,32
Total,Number,Females,From 65 to 69 years,Hungary,2006,0
Total,Number,Females,From 65 to 69 years,Israel,2009,1095
Total,Number,Females,From 65 to 69 years,Israel,2006,0
Total,Number,Females,From 65 to 69 years,Iceland,2009,4
Total,Number,Females,From 65 to 69 years,Iceland,2006,7
Total,Number,Females,From 65 to 69 years,Lithuania,2009,360
Total,Number,Females,From 65 to 69 years,Lithuania,2006,512
Total,Number,Females,From 65 to 69 years,Latvia,2009,264
Total,Number,Females,From 65 to 69 years,Latvia,2006,293
Total,Number,Females,From 65 to 69 years,Malta,2009,1
Total,Number,Females,From 65 to 69 years,Malta,2006,0
Total,Number,Females,From 65 to 69 years,Norway,2009,207
Total,Number,Females,From 65 to 69 years,Norway,2006,100
Total,Number,Females,From 65 to 69 years,Poland,2009,15
Total,Number,Females,From 65 to 69 years,Poland,2006,0
Total,Number,Females,From 65 to 69 years,Portugal,2009,0
Total,Number,Females,From 65 to 69 years,Portugal,2006,111
Total,Number,Females,From 65 to 69 years,Russia,2009,85
Total,Number,Females,From 65 to 69 years,Russia,2006,0
Total,Number,Females,From 65 to 69 years,Sweden,2009,1590
Total,Number,Females,From 65 to 69 years,Sweden,2006,1101
Total,Number,Females,From 65 to 69 years,Slovenia,2009,72u
Total,Number,Females,From 65 to 69 years,Slovenia,2006,0
Total,Number,Females,From 65 to 69 years,Turkey,2009,641
Total,Number,Females,From 65 to 69 years,Turkey,2006,0
Total,Number,Females,From 65 to 69 years,United States,2009,11900
Total,Number,Females,From 65 to 69 years,United States,2006,8700
Total,Number,Females,70 years or over,Switzerland,2009,0
Total,Number,Females,70 years or over,Switzerland,2006,3415
Total,Number,Females,70 years or over,Denmark,2009,0
Total,Number,Females,70 years or over,Denmark,2006,0
Total,Number,Females,70 years or over,Estonia,2009,0
Total,Number,Females,70 years or over,Estonia,2006,0
Total,Number,Females,70 years or over,Finland,2009,0
Total,Number,Females,70 years or over,Finland,2006,225
Total,Number,Females,70 years or over,Iceland,2009,0
Total,Number,Females,70 years or over,Iceland,2006,0
Total,Number,Females,70 years or over,Norway,2009,0
Total,Number,Females,70 years or over,Norway,2006,40
Total,Number,Females,70 years or over,United States,2009,0
Total,Number,Females,70 years or over,United States,2006,1200
Total,Number,Females,Less than 35 years,Bulgaria,2009,833
Total,Number,Females,Less than 35 years,Bulgaria,2006,525
Total,Number,Females,Less than 35 years,Switzerland,2009,11700
Total,Number,Females,Less than 35 years,Switzerland,2006,7952
Total,Number,Females,Less than 35 years,Cyprus,2009,0
Total,Number,Females,Less than 35 years,Cyprus,2006,96
Total,Number,Females,Less than 35 years,Germany (until 1990 former territory of the FRG),2009,37510
Total,Number,Females,Less than 35 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Number,Females,Less than 35 years,Denmark,2009,558
Total,Number,Females,Less than 35 years,Denmark,2006,264
Total,Number,Females,Less than 35 years,Estonia,2009,0
Total,Number,Females,Less than 35 years,Estonia,2006,116
Total,Number,Females,Less than 35 years,Finland,2009,1151
Total,Number,Females,Less than 35 years,Finland,2006,879
Total,Number,Females,Less than 35 years,Croatia,2009,438
Total,Number,Females,Less than 35 years,Croatia,2006,238
Total,Number,Females,Less than 35 years,Hungary,2009,88
Total,Number,Females,Less than 35 years,Hungary,2006,0
Total,Number,Females,Less than 35 years,Israel,2009,1004
Total,Number,Females,Less than 35 years,Israel,2006,0
Total,Number,Females,Less than 35 years,Iceland,2009,3
Total,Number,Females,Less than 35 years,Iceland,2006,43
Total,Number,Females,Less than 35 years,Lithuania,2009,525
Total,Number,Females,Less than 35 years,Lithuania,2006,569
Total,Number,Females,Less than 35 years,Latvia,2009,143
Total,Number,Females,Less than 35 years,Latvia,2006,119
Total,Number,Females,Less than 35 years,Malta,2009,7
Total,Number,Females,Less than 35 years,Malta,2006,0
Total,Number,Females,Less than 35 years,Netherlands,2009,0
Total,Number,Females,Less than 35 years,Netherlands,2006,6000
Total,Number,Females,Less than 35 years,Norway,2009,729
Total,Number,Females,Less than 35 years,Norway,2006,780
Total,Number,Females,Less than 35 years,Poland,2009,582
Total,Number,Females,Less than 35 years,Poland,2006,0
Total,Number,Females,Less than 35 years,Portugal,2009,421
Total,Number,Females,Less than 35 years,Portugal,2006,513
Total,Number,Females,Less than 35 years,Russia,2009,260
Total,Number,Females,Less than 35 years,Russia,2006,0
Total,Number,Females,Less than 35 years,Sweden,2009,3298
Total,Number,Females,Less than 35 years,Sweden,2006,3142
Total,Number,Females,Less than 35 years,Slovenia,2009,443
Total,Number,Females,Less than 35 years,Slovenia,2006,0
Total,Number,Females,Less than 35 years,Turkey,2009,4779
Total,Number,Females,Less than 35 years,Turkey,2006,0
Total,Number,Females,Less than 35 years,United States,2009,31500
Total,Number,Females,Less than 35 years,United States,2006,27500
Total,Number,Males,Total,Bulgaria,2009,9240
Total,Number,Males,Total,Bulgaria,2006,8877
Total,Number,Males,Total,Switzerland,2009,102671
Total,Number,Males,Total,Switzerland,2006,90912
Total,Number,Males,Total,Cyprus,2009,0
Total,Number,Males,Total,Cyprus,2006,1632
Total,Number,Males,Total,Germany (until 1990 former territory of the FRG),2009,540270
Total,Number,Males,Total,Germany (until 1990 former territory of the FRG),2006,464800
Total,Number,Males,Total,Denmark,2009,9185
Total,Number,Males,Total,Denmark,2006,602
Total,Number,Males,Total,Estonia,2009,0
Total,Number,Males,Total,Estonia,2006,1764
Total,Number,Males,Total,Finland,2009,13261
Total,Number,Males,Total,Finland,2006,12891
Total,Number,Males,Total,Croatia,2009,4876
Total,Number,Males,Total,Croatia,2006,4404
Total,Number,Males,Total,Hungary,2009,1206
Total,Number,Males,Total,Hungary,2006,0
Total,Number,Males,Total,Israel,2009,20446
Total,Number,Males,Total,Israel,2006,0
Total,Number,Males,Total,Iceland,2009,238
Total,Number,Males,Total,Iceland,2006,888
Total,Number,Males,Total,Lithuania,2009,5407
Total,Number,Males,Total,Lithuania,2006,5615
Total,Number,Males,Total,Latvia,2009,1768
Total,Number,Males,Total,Latvia,2006,2000
Total,Number,Males,Total,Malta,2009,430
Total,Number,Males,Total,Malta,2006,0
Total,Number,Males,Total,Netherlands,2009,0
Total,Number,Males,Total,Netherlands,2006,56000
Total,Number,Males,Total,Norway,2009,12103
Total,Number,Males,Total,Norway,2006,10680
Total,Number,Males,Total,Poland,2009,2002
Total,Number,Males,Total,Poland,2006,0
Total,Number,Males,Total,Portugal,2009,689
Total,Number,Males,Total,Portugal,2006,7889
Total,Number,Males,Total,Russia,2009,2011
Total,Number,Males,Total,Russia,2006,0
Total,Number,Males,Total,Sweden,2009,38636
Total,Number,Males,Total,Sweden,2006,36565
Total,Number,Males,Total,Slovenia,2009,4034
Total,Number,Males,Total,Slovenia,2006,0
Total,Number,Males,Total,Turkey,2009,50430
Total,Number,Males,Total,Turkey,2006,0
Total,Number,Males,Total,United States,2009,487500
Total,Number,Males,Total,United States,2006,478900
Total,Number,Males,Unknown,Bulgaria,2009,0
Total,Number,Males,Unknown,Bulgaria,2006,0
Total,Number,Males,Unknown,Germany (until 1990 former territory of the FRG),2009,0
Total,Number,Males,Unknown,Germany (until 1990 former territory of the FRG),2006,0
Total,Number,Males,Unknown,Israel,2009,0
Total,Number,Males,Unknown,Israel,2006,0
Total,Number,Males,Unknown,Lithuania,2009,0
Total,Number,Males,Unknown,Lithuania,2006,0
Total,Number,Males,Unknown,Norway,2009,0
Total,Number,Males,Unknown,Norway,2006,0
Total,Number,Males,Unknown,Poland,2009,0
Total,Number,Males,Unknown,Poland,2006,0
Total,Number,Males,Unknown,Portugal,2009,0
Total,Number,Males,Unknown,Portugal,2006,0
Total,Number,Males,Unknown,Russia,2009,0
Total,Number,Males,Unknown,Russia,2006,0
Total,Number,Males,From 35 to 44 years,Bulgaria,2009,1263
Total,Number,Males,From 35 to 44 years,Bulgaria,2006,1096
Total,Number,Males,From 35 to 44 years,Switzerland,2009,28348
Total,Number,Males,From 35 to 44 years,Switzerland,2006,26118
Total,Number,Males,From 35 to 44 years,Cyprus,2009,0
Total,Number,Males,From 35 to 44 years,Cyprus,2006,460
Total,Number,Males,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,122320
Total,Number,Males,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,120160
Total,Number,Males,From 35 to 44 years,Denmark,2009,3874
Total,Number,Males,From 35 to 44 years,Denmark,2006,171
Total,Number,Males,From 35 to 44 years,Estonia,2009,0
Total,Number,Males,From 35 to 44 years,Estonia,2006,417
Total,Number,Males,From 35 to 44 years,Finland,2009,3664
Total,Number,Males,From 35 to 44 years,Finland,2006,3393
Total,Number,Males,From 35 to 44 years,Croatia,2009,1201
Total,Number,Males,From 35 to 44 years,Croatia,2006,935
Total,Number,Males,From 35 to 44 years,Hungary,2009,325
Total,Number,Males,From 35 to 44 years,Hungary,2006,0
Total,Number,Males,From 35 to 44 years,Israel,2009,3978
Total,Number,Males,From 35 to 44 years,Israel,2006,0
Total,Number,Males,From 35 to 44 years,Iceland,2009,50
Total,Number,Males,From 35 to 44 years,Iceland,2006,202
Total,Number,Males,From 35 to 44 years,Lithuania,2009,1132
Total,Number,Males,From 35 to 44 years,Lithuania,2006,947
Total,Number,Males,From 35 to 44 years,Latvia,2009,207
Total,Number,Males,From 35 to 44 years,Latvia,2006,243
Total,Number,Males,From 35 to 44 years,Malta,2009,103
Total,Number,Males,From 35 to 44 years,Malta,2006,0
Total,Number,Males,From 35 to 44 years,Netherlands,2009,0
Total,Number,Males,From 35 to 44 years,Netherlands,2006,14000
Total,Number,Males,From 35 to 44 years,Norway,2009,3480
Total,Number,Males,From 35 to 44 years,Norway,2006,3290
Total,Number,Males,From 35 to 44 years,Poland,2009,625
Total,Number,Males,From 35 to 44 years,Poland,2006,0
Total,Number,Males,From 35 to 44 years,Portugal,2009,270
Total,Number,Males,From 35 to 44 years,Portugal,2006,2739
Total,Number,Males,From 35 to 44 years,Russia,2009,223
Total,Number,Males,From 35 to 44 years,Russia,2006,0
Total,Number,Males,From 35 to 44 years,Sweden,2009,10848
Total,Number,Males,From 35 to 44 years,Sweden,2006,10121
Total,Number,Males,From 35 to 44 years,Slovenia,2009,1130
Total,Number,Males,From 35 to 44 years,Slovenia,2006,0
Total,Number,Males,From 35 to 44 years,Turkey,2009,20144
Total,Number,Males,From 35 to 44 years,Turkey,2006,0
Total,Number,Males,From 35 to 44 years,United States,2009,115200
Total,Number,Males,From 35 to 44 years,United States,2006,115900
Total,Number,Males,From 45 to 54 years,Bulgaria,2009,2618
Total,Number,Males,From 45 to 54 years,Bulgaria,2006,2476
Total,Number,Males,From 45 to 54 years,Switzerland,2009,28066
Total,Number,Males,From 45 to 54 years,Switzerland,2006,17528
Total,Number,Males,From 45 to 54 years,Cyprus,2009,0
Total,Number,Males,From 45 to 54 years,Cyprus,2006,528
Total,Number,Males,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,123460
Total,Number,Males,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,102030
Total,Number,Males,From 45 to 54 years,Denmark,2009,2790
Total,Number,Males,From 45 to 54 years,Denmark,2006,40
Total,Number,Males,From 45 to 54 years,Estonia,2009,0
Total,Number,Males,From 45 to 54 years,Estonia,2006,456
Total,Number,Males,From 45 to 54 years,Finland,2009,3674
Total,Number,Males,From 45 to 54 years,Finland,2006,3396
Total,Number,Males,From 45 to 54 years,Croatia,2009,1239
Total,Number,Males,From 45 to 54 years,Croatia,2006,1106
Total,Number,Males,From 45 to 54 years,Hungary,2009,272
Total,Number,Males,From 45 to 54 years,Hungary,2006,0
Total,Number,Males,From 45 to 54 years,Israel,2009,5959
Total,Number,Males,From 45 to 54 years,Israel,2006,0
Total,Number,Males,From 45 to 54 years,Iceland,2009,76
Total,Number,Males,From 45 to 54 years,Iceland,2006,334
Total,Number,Males,From 45 to 54 years,Lithuania,2009,1488
Total,Number,Males,From 45 to 54 years,Lithuania,2006,1509
Total,Number,Males,From 45 to 54 years,Latvia,2009,394
Total,Number,Males,From 45 to 54 years,Latvia,2006,491
Total,Number,Males,From 45 to 54 years,Malta,2009,127
Total,Number,Males,From 45 to 54 years,Malta,2006,0
Total,Number,Males,From 45 to 54 years,Netherlands,2009,0
Total,Number,Males,From 45 to 54 years,Netherlands,2006,14000
Total,Number,Males,From 45 to 54 years,Norway,2009,3735
Total,Number,Males,From 45 to 54 years,Norway,2006,3100
Total,Number,Males,From 45 to 54 years,Poland,2009,349
Total,Number,Males,From 45 to 54 years,Poland,2006,0
Total,Number,Males,From 45 to 54 years,Portugal,2009,69
Total,Number,Males,From 45 to 54 years,Portugal,2006,2588
Total,Number,Males,From 45 to 54 years,Russia,2009,445
Total,Number,Males,From 45 to 54 years,Russia,2006,0
Total,Number,Males,From 45 to 54 years,Sweden,2009,9665
Total,Number,Males,From 45 to 54 years,Sweden,2006,9055
Total,Number,Males,From 45 to 54 years,Slovenia,2009,980
Total,Number,Males,From 45 to 54 years,Slovenia,2006,0
Total,Number,Males,From 45 to 54 years,Turkey,2009,14500
Total,Number,Males,From 45 to 54 years,Turkey,2006,0
Total,Number,Males,From 45 to 54 years,United States,2009,129800
Total,Number,Males,From 45 to 54 years,United States,2006,129500
Total,Number,Males,From 55 to 64 years,Bulgaria,2009,3267
Total,Number,Males,From 55 to 64 years,Bulgaria,2006,3417
Total,Number,Males,From 55 to 64 years,Switzerland,2009,23153
Total,Number,Males,From 55 to 64 years,Switzerland,2006,20394
Total,Number,Males,From 55 to 64 years,Cyprus,2009,0
Total,Number,Males,From 55 to 64 years,Cyprus,2006,372
Total,Number,Males,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,104520
Total,Number,Males,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,93060
Total,Number,Males,From 55 to 64 years,Denmark,2009,1200
Total,Number,Males,From 55 to 64 years,Denmark,2006,3
Total,Number,Males,From 55 to 64 years,Estonia,2009,0
Total,Number,Males,From 55 to 64 years,Estonia,2006,461
Total,Number,Males,From 55 to 64 years,Finland,2009,3379
Total,Number,Males,From 55 to 64 years,Finland,2006,3001
Total,Number,Males,From 55 to 64 years,Croatia,2009,1483
Total,Number,Males,From 55 to 64 years,Croatia,2006,1421
Total,Number,Males,From 55 to 64 years,Hungary,2009,339
Total,Number,Males,From 55 to 64 years,Hungary,2006,0
Total,Number,Males,From 55 to 64 years,Israel,2009,7310
Total,Number,Males,From 55 to 64 years,Israel,2006,0
Total,Number,Males,From 55 to 64 years,Iceland,2009,77
Total,Number,Males,From 55 to 64 years,Iceland,2006,241
Total,Number,Males,From 55 to 64 years,Lithuania,2009,1528
Total,Number,Males,From 55 to 64 years,Lithuania,2006,1494
Total,Number,Males,From 55 to 64 years,Latvia,2009,667
Total,Number,Males,From 55 to 64 years,Latvia,2006,733
Total,Number,Males,From 55 to 64 years,Malta,2009,100
Total,Number,Males,From 55 to 64 years,Malta,2006,0
Total,Number,Males,From 55 to 64 years,Netherlands,2009,0
Total,Number,Males,From 55 to 64 years,Netherlands,2006,11000
Total,Number,Males,From 55 to 64 years,Norway,2009,2833
Total,Number,Males,From 55 to 64 years,Norway,2006,2180
Total,Number,Males,From 55 to 64 years,Poland,2009,300
Total,Number,Males,From 55 to 64 years,Poland,2006,0
Total,Number,Males,From 55 to 64 years,Portugal,2009,47
Total,Number,Males,From 55 to 64 years,Portugal,2006,1620
Total,Number,Males,From 55 to 64 years,Russia,2009,746
Total,Number,Males,From 55 to 64 years,Russia,2006,0
Total,Number,Males,From 55 to 64 years,Sweden,2009,9438
